task,protocol,seed,fold,d,n_train,n_test,train_acc,test_acc,w_norm,explained_var
imagery_left_right_fist,subject_disjoint,20260916,subj0,32,3242,1656,0.525601,0.525362,0.149833,0.843902
imagery_left_right_fist,subject_disjoint,20260916,subj0,64,3242,1656,0.561073,0.540459,0.483231,0.90308
imagery_left_right_fist,subject_disjoint,20260916,subj0,128,3242,1656,0.711906,0.59843,5.00955,0.92683
imagery_left_right_fist,subject_disjoint,20260916,subj0,256,3242,1656,0.749537,0.621377,7.00599,0.943086
imagery_left_right_fist,subject_disjoint,20260916,subj0,512,3242,1656,0.788711,0.619565,9.91104,0.963818
imagery_left_right_fist,subject_disjoint,20260916,subj0,1024,3242,1656,0.858421,0.621981,16.1295,0.986502
imagery_left_right_fist,subject_disjoint,20260916,subj0,2080,3242,1656,0.947563,0.610507,22.6833,1
imagery_left_right_fist,subject_disjoint,20260916,subj1,2,3280,1618,0.503963,0.504944,0.006135,0.656936
imagery_left_right_fist,subject_disjoint,20260916,subj1,4,3280,1618,0.50061,0.508035,0.00999126,0.68966
imagery_left_right_fist,subject_disjoint,20260916,subj1,8,3280,1618,0.519512,0.516069,0.0597343,0.734848
imagery_left_right_fist,subject_disjoint,20260916,subj1,16,3280,1618,0.522256,0.529048,0.0938929,0.793029
imagery_left_right_fist,subject_disjoint,20260916,subj1,32,3280,1618,0.537195,0.526576,0.160555,0.855516
imagery_left_right_fist,subject_disjoint,20260916,subj1,64,3280,1618,0.581707,0.538319,0.590821,0.906817
imagery_left_right_fist,subject_disjoint,20260916,subj1,128,3280,1618,0.724695,0.60136,5.71486,0.928598
imagery_left_right_fist,subject_disjoint,20260916,subj1,256,3280,1618,0.753659,0.598888,7.62805,0.944123
imagery_left_right_fist,subject_disjoint,20260916,subj1,512,3280,1618,0.788415,0.592707,10.0783,0.964191
imagery_left_right_fist,subject_disjoint,20260916,subj1,1024,3280,1618,0.855183,0.591471,15.9037,0.986439
imagery_left_right_fist,subject_disjoint,20260916,subj1,2080,3280,1618,0.953659,0.563659,22.8321,1
imagery_left_right_fist,subject_disjoint,20260916,subj2,2,3274,1624,0.503971,0.505542,0.00231292,0.621508
imagery_left_right_fist,subject_disjoint,20260916,subj2,4,3274,1624,0.503665,0.501232,0.0145935,0.658228
imagery_left_right_fist,subject_disjoint,20260916,subj2,8,3274,1624,0.508247,0.521552,0.0355416,0.710738
imagery_left_right_fist,subject_disjoint,20260916,subj2,16,3274,1624,0.519243,0.537562,0.0697123,0.776529
imagery_left_right_fist,subject_disjoint,20260916,subj2,32,3274,1624,0.522908,0.54803,0.152757,0.849289
imagery_left_right_fist,subject_disjoint,20260916,subj2,64,3274,1624,0.541234,0.561576,0.366979,0.90755
imagery_left_right_fist,subject_disjoint,20260916,subj2,128,3274,1624,0.700367,0.629926,5.054,0.92988
imagery_left_right_fist,subject_disjoint,20260916,subj2,256,3274,1624,0.7416,0.623153,7.35732,0.945471
imagery_left_right_fist,subject_disjoint,20260916,subj2,512,3274,1624,0.782224,0.621921,10.2684,0.965266
imagery_left_right_fist,subject_disjoint,20260916,subj2,1024,3274,1624,0.847282,0.60899,15.8092,0.986984
imagery_left_right_fist,subject_disjoint,20260916,subj2,2080,3274,1624,0.946854,0.605911,22.7882,1
imagery_left_right_fist,subject_disjoint,20260917,subj0,2,3224,1674,0.497829,0.502987,0.00181386,0.632783
imagery_left_right_fist,subject_disjoint,20260917,subj0,4,3224,1674,0.506203,0.503584,0.0132161,0.668791
imagery_left_right_fist,subject_disjoint,20260917,subj0,8,3224,1674,0.51768,0.529869,0.0475686,0.718373
imagery_left_right_fist,subject_disjoint,20260917,subj0,16,3224,1674,0.520471,0.524492,0.098328,0.782611
imagery_left_right_fist,subject_disjoint,20260917,subj0,32,3224,1674,0.531948,0.537634,0.159514,0.851858
imagery_left_right_fist,subject_disjoint,20260917,subj0,64,3224,1674,0.55428,0.548984,0.414622,0.906047
imagery_left_right_fist,subject_disjoint,20260917,subj0,128,3224,1674,0.695409,0.61589,4.92257,0.928243
imagery_left_right_fist,subject_disjoint,20260917,subj0,256,3224,1674,0.733561,0.630824,7.21619,0.943999
