dataset,task,protocol,subject,n_test,acc_inductive,acc_transductive,delta
eegbci,imagery_fists_feet,subject_disjoint,93,45,0.6,0.6,0
eegbci,imagery_fists_feet,subject_disjoint,94,45,0.488889,0.488889,0
eegbci,imagery_fists_feet,subject_disjoint,95,45,0.8,0.8,0
eegbci,imagery_fists_feet,subject_disjoint,96,45,0.6,0.6,0
eegbci,imagery_fists_feet,subject_disjoint,97,45,0.577778,0.577778,0
eegbci,imagery_fists_feet,subject_disjoint,98,45,0.666667,0.666667,0
eegbci,imagery_fists_feet,subject_disjoint,99,45,0.422222,0.422222,0
eegbci,imagery_fists_feet,subject_disjoint,100,36,0.5,0.5,0
eegbci,imagery_fists_feet,subject_disjoint,101,45,0.533333,0.533333,0
eegbci,imagery_fists_feet,subject_disjoint,102,43,0.697674,0.697674,0
eegbci,imagery_fists_feet,subject_disjoint,103,45,0.488889,0.488889,0
eegbci,imagery_fists_feet,subject_disjoint,104,45,0.644444,0.644444,0
eegbci,imagery_fists_feet,subject_disjoint,105,45,0.688889,0.733333,0.0444444
eegbci,imagery_fists_feet,subject_disjoint,106,45,0.555556,0.577778,0.0222222
eegbci,imagery_fists_feet,subject_disjoint,107,45,0.488889,0.488889,0
eegbci,imagery_fists_feet,subject_disjoint,108,45,0.577778,0.577778,0
eegbci,imagery_fists_feet,subject_disjoint,109,45,0.488889,0.488889,0
eegbci,real_fists_feet,subject_disjoint,1,45,0.644444,0.622222,-0.0222222
eegbci,real_fists_feet,subject_disjoint,2,45,0.844444,0.844444,0
eegbci,real_fists_feet,subject_disjoint,3,45,0.577778,0.577778,0
eegbci,real_fists_feet,subject_disjoint,4,45,0.622222,0.622222,0
eegbci,real_fists_feet,subject_disjoint,5,45,0.6,0.6,0
eegbci,real_fists_feet,subject_disjoint,6,45,0.644444,0.666667,0.0222222
eegbci,real_fists_feet,subject_disjoint,7,45,0.844444,0.844444,0
eegbci,real_fists_feet,subject_disjoint,8,45,0.533333,0.533333,0
eegbci,real_fists_feet,subject_disjoint,9,45,0.577778,0.6,0.0222222
eegbci,real_fists_feet,subject_disjoint,10,45,0.622222,0.622222,0
eegbci,real_fists_feet,subject_disjoint,11,45,0.666667,0.666667,0
eegbci,real_fists_feet,subject_disjoint,12,45,0.488889,0.488889,0
eegbci,real_fists_feet,subject_disjoint,13,45,0.733333,0.733333,0
eegbci,real_fists_feet,subject_disjoint,14,45,0.444444,0.444444,0
eegbci,real_fists_feet,subject_disjoint,15,45,0.8,0.8,0
eegbci,real_fists_feet,subject_disjoint,16,45,0.755556,0.755556,0
eegbci,real_fists_feet,subject_disjoint,17,45,0.711111,0.711111,0
eegbci,real_fists_feet,subject_disjoint,18,45,0.6,0.6,0
eegbci,real_fists_feet,subject_disjoint,19,45,0.533333,0.511111,-0.0222222
eegbci,real_fists_feet,subject_disjoint,20,45,0.644444,0.644444,0
eegbci,real_fists_feet,subject_disjoint,21,45,0.6,0.6,0
eegbci,real_fists_feet,subject_disjoint,22,45,0.511111,0.511111,0
