dataset,task,model,preproc,protocol,seed,subject,n_test,accuracy
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,3,288,0.857639
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,4,288,0.690972
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,5,288,0.53125
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,6,288,0.663194
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,7,288,0.614583
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,8,288,0.916667
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_6,20260918,9,288,0.875
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,1,288,0.784722
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,2,288,0.538194
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,3,288,0.881944
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,4,288,0.638889
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,5,288,0.510417
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,6,288,0.631944
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,7,288,0.572917
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,8,288,0.885417
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260916,9,288,0.836806
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,1,288,0.739583
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,2,288,0.510417
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,3,288,0.836806
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,4,288,0.645833
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,5,288,0.524306
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,6,288,0.65625
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,7,288,0.538194
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,8,288,0.920139
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260917,9,288,0.822917
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,1,288,0.791667
bci2a,bci2a_left_right,shallow_fbcsp,ztrial,trial_random_2,20260918,2,288,0.552083
