task,protocol,seed,fold,C,n_train,n_test,train_acc,test_acc,w_norm,n_iter
imagery_left_right_fist,subject_disjoint,20260918,subj2,100.0,3281,1617,1,0.583179,123.577,509
imagery_left_right_fist,subject_disjoint,20260918,subj2,1000.0,3281,1617,1,0.587508,222.379,223
imagery_left_right_fist,subject_disjoint,20260919,subj0,0.0001,3242,1656,0.590993,0.552536,0.0279521,10
imagery_left_right_fist,subject_disjoint,20260919,subj0,0.001,3242,1656,0.661012,0.605676,0.240926,13
imagery_left_right_fist,subject_disjoint,20260919,subj0,0.01,3242,1656,0.770204,0.618961,1.63565,38
imagery_left_right_fist,subject_disjoint,20260919,subj0,0.1,3242,1656,0.87261,0.606884,7.10108,90
imagery_left_right_fist,subject_disjoint,20260919,subj0,1.0,3242,1656,0.951265,0.592995,22.9319,228
imagery_left_right_fist,subject_disjoint,20260919,subj0,10.0,3242,1656,0.999692,0.589372,62.7541,369
imagery_left_right_fist,subject_disjoint,20260919,subj0,100.0,3242,1656,1,0.592995,125.913,407
imagery_left_right_fist,subject_disjoint,20260919,subj0,1000.0,3242,1656,1,0.583333,251.012,175
imagery_left_right_fist,subject_disjoint,20260919,subj1,0.0001,3264,1634,0.572917,0.568543,0.0295061,10
imagery_left_right_fist,subject_disjoint,20260919,subj1,0.001,3264,1634,0.64185,0.610159,0.249313,12
imagery_left_right_fist,subject_disjoint,20260919,subj1,0.01,3264,1634,0.768382,0.620563,1.66804,30
imagery_left_right_fist,subject_disjoint,20260919,subj1,0.1,3264,1634,0.862745,0.621787,7.05267,111
imagery_left_right_fist,subject_disjoint,20260919,subj1,1.0,3264,1634,0.949449,0.588739,22.8362,262
imagery_left_right_fist,subject_disjoint,20260919,subj1,10.0,3264,1634,1,0.578335,63.09,437
imagery_left_right_fist,subject_disjoint,20260919,subj1,100.0,3264,1634,1,0.574663,125.377,451
imagery_left_right_fist,subject_disjoint,20260919,subj1,1000.0,3264,1634,1,0.591187,242.08,236
imagery_left_right_fist,subject_disjoint,20260919,subj2,0.0001,3290,1608,0.583891,0.560323,0.0304501,9
