task,protocol,seed,fold,metric,value,n,note
real_left_right_fist,trial_random,20260918,trial1,fraction_w_in_span_train_d_s,0.332782,109,
real_left_right_fist,trial_random,20260918,trial2,mean_abs_cos_w_d_s_train_subjects,0.121646,109,
real_left_right_fist,trial_random,20260918,trial2,mean_abs_cos_w_d_s_test_subjects,0.121646,109,
real_left_right_fist,trial_random,20260918,trial2,abs_cos_w_d_global,0.444818,109,
real_left_right_fist,trial_random,20260918,trial2,fraction_w_in_span_all_d_s,0.319475,109,
real_left_right_fist,trial_random,20260918,trial2,fraction_w_in_span_train_d_s,0.319475,109,
real_left_right_fist,trial_random,20260919,trial0,mean_abs_cos_w_d_s_train_subjects,0.123744,109,
real_left_right_fist,trial_random,20260919,trial0,mean_abs_cos_w_d_s_test_subjects,0.123744,109,
real_left_right_fist,trial_random,20260919,trial0,abs_cos_w_d_global,0.452565,109,
real_left_right_fist,trial_random,20260919,trial0,fraction_w_in_span_all_d_s,0.329322,109,
real_left_right_fist,trial_random,20260919,trial0,fraction_w_in_span_train_d_s,0.329322,109,
real_left_right_fist,trial_random,20260919,trial1,mean_abs_cos_w_d_s_train_subjects,0.123111,109,
real_left_right_fist,trial_random,20260919,trial1,mean_abs_cos_w_d_s_test_subjects,0.123111,109,
real_left_right_fist,trial_random,20260919,trial1,abs_cos_w_d_global,0.449519,109,
real_left_right_fist,trial_random,20260919,trial1,fraction_w_in_span_all_d_s,0.324767,109,
real_left_right_fist,trial_random,20260919,trial1,fraction_w_in_span_train_d_s,0.324767,109,
real_left_right_fist,trial_random,20260919,trial2,mean_abs_cos_w_d_s_train_subjects,0.125196,109,
real_left_right_fist,trial_random,20260919,trial2,mean_abs_cos_w_d_s_test_subjects,0.125196,109,
real_left_right_fist,trial_random,20260919,trial2,abs_cos_w_d_global,0.457789,109,
real_left_right_fist,trial_random,20260919,trial2,fraction_w_in_span_all_d_s,0.337951,109,
real_left_right_fist,trial_random,20260919,trial2,fraction_w_in_span_train_d_s,0.337951,109,
real_left_right_fist,trial_random,20260920,trial0,mean_abs_cos_w_d_s_train_subjects,0.12379,109,
real_left_right_fist,trial_random,20260920,trial0,mean_abs_cos_w_d_s_test_subjects,0.12379,109,
real_left_right_fist,trial_random,20260920,trial0,abs_cos_w_d_global,0.452806,109,
real_left_right_fist,trial_random,20260920,trial0,fraction_w_in_span_all_d_s,0.327773,109,
real_left_right_fist,trial_random,20260920,trial0,fraction_w_in_span_train_d_s,0.327773,109,
real_left_right_fist,trial_random,20260920,trial1,mean_abs_cos_w_d_s_train_subjects,0.122873,109,
real_left_right_fist,trial_random,20260920,trial1,mean_abs_cos_w_d_s_test_subjects,0.122873,109,
real_left_right_fist,trial_random,20260920,trial1,abs_cos_w_d_global,0.448801,109,
real_left_right_fist,trial_random,20260920,trial1,fraction_w_in_span_all_d_s,0.33337,109,
real_left_right_fist,trial_random,20260920,trial1,fraction_w_in_span_train_d_s,0.33337,109,
real_left_right_fist,trial_random,20260920,trial2,mean_abs_cos_w_d_s_train_subjects,0.124318,109,
real_left_right_fist,trial_random,20260920,trial2,mean_abs_cos_w_d_s_test_subjects,0.124318,109,
real_left_right_fist,trial_random,20260920,trial2,abs_cos_w_d_global,0.455275,109,
real_left_right_fist,trial_random,20260920,trial2,fraction_w_in_span_all_d_s,0.323065,109,
real_left_right_fist,trial_random,20260920,trial2,fraction_w_in_span_train_d_s,0.323065,109,
