task,model,k,draw,subject,n_test,accuracy
imagery_left_right_fist,csp_lda,4,0,70,15,0.866667
imagery_left_right_fist,csp_lda,8,0,70,15,0.866667
imagery_left_right_fist,csp_lda,16,0,70,15,0.866667
imagery_left_right_fist,csp_lda,30,0,70,15,0.8
imagery_left_right_fist,csp_lda,4,1,70,15,0.866667
imagery_left_right_fist,csp_lda,8,1,70,15,0.866667
imagery_left_right_fist,csp_lda,16,1,70,15,0.866667
imagery_left_right_fist,csp_lda,30,1,70,15,0.8
imagery_left_right_fist,csp_lda,4,2,70,15,0.866667
imagery_left_right_fist,csp_lda,8,2,70,15,0.866667
imagery_left_right_fist,csp_lda,16,2,70,15,0.866667
imagery_left_right_fist,csp_lda,30,2,70,15,0.8
imagery_left_right_fist,csp_lda,0,0,71,15,0.733333
imagery_left_right_fist,csp_lda,4,0,71,15,0.733333
imagery_left_right_fist,csp_lda,8,0,71,15,0.733333
imagery_left_right_fist,csp_lda,16,0,71,15,0.733333
imagery_left_right_fist,csp_lda,30,0,71,15,0.733333
imagery_left_right_fist,csp_lda,4,1,71,15,0.733333
imagery_left_right_fist,csp_lda,8,1,71,15,0.733333
imagery_left_right_fist,csp_lda,16,1,71,15,0.733333
imagery_left_right_fist,csp_lda,30,1,71,15,0.733333
imagery_left_right_fist,csp_lda,4,2,71,15,0.733333
imagery_left_right_fist,csp_lda,8,2,71,15,0.733333
imagery_left_right_fist,csp_lda,16,2,71,15,0.733333
imagery_left_right_fist,csp_lda,30,2,71,15,0.733333
imagery_left_right_fist,csp_lda,0,0,73,14,0.714286
imagery_left_right_fist,csp_lda,4,0,73,14,0.714286
imagery_left_right_fist,csp_lda,8,0,73,14,0.714286
imagery_left_right_fist,csp_lda,16,0,73,14,0.714286
imagery_left_right_fist,csp_lda,30,0,73,14,0.714286
imagery_left_right_fist,csp_lda,4,1,73,14,0.714286
imagery_left_right_fist,csp_lda,8,1,73,14,0.714286
imagery_left_right_fist,csp_lda,16,1,73,14,0.714286
imagery_left_right_fist,csp_lda,30,1,73,14,0.714286
imagery_left_right_fist,csp_lda,4,2,73,14,0.714286
imagery_left_right_fist,csp_lda,8,2,73,14,0.714286
imagery_left_right_fist,csp_lda,16,2,73,14,0.714286
imagery_left_right_fist,csp_lda,30,2,73,14,0.714286
imagery_left_right_fist,csp_lda,0,0,75,15,0.6
imagery_left_right_fist,csp_lda,4,0,75,15,0.6
imagery_left_right_fist,csp_lda,8,0,75,15,0.6
imagery_left_right_fist,csp_lda,16,0,75,15,0.6
imagery_left_right_fist,csp_lda,30,0,75,15,0.6
imagery_left_right_fist,csp_lda,4,1,75,15,0.6
imagery_left_right_fist,csp_lda,8,1,75,15,0.6
imagery_left_right_fist,csp_lda,16,1,75,15,0.6
imagery_left_right_fist,csp_lda,30,1,75,15,0.6
imagery_left_right_fist,csp_lda,4,2,75,15,0.6
imagery_left_right_fist,csp_lda,8,2,75,15,0.6
imagery_left_right_fist,csp_lda,16,2,75,15,0.6
imagery_left_right_fist,csp_lda,30,2,75,15,0.6
imagery_left_right_fist,csp_lda,0,0,77,15,0.466667
imagery_left_right_fist,csp_lda,4,0,77,15,0.533333
imagery_left_right_fist,csp_lda,8,0,77,15,0.466667
imagery_left_right_fist,csp_lda,16,0,77,15,0.533333
imagery_left_right_fist,csp_lda,30,0,77,15,0.533333
imagery_left_right_fist,csp_lda,4,1,77,15,0.466667
imagery_left_right_fist,csp_lda,8,1,77,15,0.466667
imagery_left_right_fist,csp_lda,16,1,77,15,0.533333
imagery_left_right_fist,csp_lda,30,1,77,15,0.533333
imagery_left_right_fist,csp_lda,4,2,77,15,0.533333
imagery_left_right_fist,csp_lda,8,2,77,15,0.533333
imagery_left_right_fist,csp_lda,16,2,77,15,0.533333
imagery_left_right_fist,csp_lda,30,2,77,15,0.533333
imagery_left_right_fist,csp_lda,0,0,78,15,0.333333
imagery_left_right_fist,csp_lda,4,0,78,15,0.333333
imagery_left_right_fist,csp_lda,8,0,78,15,0.333333
imagery_left_right_fist,csp_lda,16,0,78,15,0.333333
imagery_left_right_fist,csp_lda,30,0,78,15,0.333333
imagery_left_right_fist,csp_lda,4,1,78,15,0.333333
imagery_left_right_fist,csp_lda,8,1,78,15,0.333333
imagery_left_right_fist,csp_lda,16,1,78,15,0.333333
imagery_left_right_fist,csp_lda,30,1,78,15,0.333333
imagery_left_right_fist,csp_lda,4,2,78,15,0.333333
imagery_left_right_fist,csp_lda,8,2,78,15,0.333333
imagery_left_right_fist,csp_lda,16,2,78,15,0.333333
imagery_left_right_fist,csp_lda,30,2,78,15,0.333333
imagery_left_right_fist,csp_lda,0,0,82,15,0.466667
imagery_left_right_fist,csp_lda,4,0,82,15,0.466667
imagery_left_right_fist,csp_lda,8,0,82,15,0.466667
imagery_left_right_fist,csp_lda,16,0,82,15,0.466667
imagery_left_right_fist,csp_lda,30,0,82,15,0.466667
