dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
eegbci,imagery_fists_feet,riemann_ts_lr,subject_disjoint,20260920,subj2,3273,1624,0.948365,0.597291
eegbci,real_fists_feet,csp_lda,trial_random,20260916,trial0,3252,1627,0.578721,0.576521
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260916,trial0,3252,1627,0.978782,0.754763
eegbci,real_fists_feet,csp_lda,trial_random,20260916,trial1,3253,1626,0.567476,0.566421
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260916,trial1,3253,1626,0.981555,0.729397
eegbci,real_fists_feet,csp_lda,trial_random,20260916,trial2,3253,1626,0.569321,0.565806
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260916,trial2,3253,1626,0.976637,0.733702
eegbci,real_fists_feet,csp_lda,trial_random,20260917,trial0,3252,1627,0.583333,0.568531
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260917,trial0,3252,1627,0.981242,0.733866
eegbci,real_fists_feet,csp_lda,trial_random,20260917,trial1,3253,1626,0.587458,0.568266
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260917,trial1,3253,1626,0.981248,0.720787
eegbci,real_fists_feet,csp_lda,trial_random,20260917,trial2,3253,1626,0.609899,0.591636
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260917,trial2,3253,1626,0.978789,0.740467
eegbci,real_fists_feet,csp_lda,trial_random,20260918,trial0,3252,1627,0.583026,0.568531
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260918,trial0,3252,1627,0.983087,0.749232
eegbci,real_fists_feet,csp_lda,trial_random,20260918,trial1,3253,1626,0.578235,0.565191
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260918,trial1,3253,1626,0.982478,0.730012
eegbci,real_fists_feet,csp_lda,trial_random,20260918,trial2,3253,1626,0.570858,0.592866
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260918,trial2,3253,1626,0.976022,0.736162
eegbci,real_fists_feet,csp_lda,trial_random,20260919,trial0,3252,1627,0.605781,0.58697
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260919,trial0,3252,1627,0.978167,0.730178
eegbci,real_fists_feet,csp_lda,trial_random,20260919,trial1,3253,1626,0.577928,0.605781
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260919,trial1,3253,1626,0.9834,0.726322
eegbci,real_fists_feet,csp_lda,trial_random,20260919,trial2,3253,1626,0.581924,0.562731
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260919,trial2,3253,1626,0.976637,0.750308
eegbci,real_fists_feet,csp_lda,trial_random,20260920,trial0,3252,1627,0.563346,0.550092
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260920,trial0,3252,1627,0.978167,0.754149
eegbci,real_fists_feet,csp_lda,trial_random,20260920,trial1,3253,1626,0.612973,0.584256
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260920,trial1,3253,1626,0.979096,0.731857
eegbci,real_fists_feet,csp_lda,trial_random,20260920,trial2,3253,1626,0.579465,0.565191
eegbci,real_fists_feet,riemann_ts_lr,trial_random,20260920,trial2,3253,1626,0.978481,0.738622
