task,model,width,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260917,subj2,3283,1614,2794,489,0.856229,0.658487,0.623916,10,16,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj0,3229,1668,2737,492,0.687829,0.642276,0.573141,2,8,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj1,3288,1609,2793,495,0.907543,0.660606,0.6445,13,19,106482
imagery_fists_feet,shallow_fbcsp,default,ztrial,subject_disjoint,20260918,subj2,3277,1620,2782,495,0.90357,0.662626,0.645062,17,23,106482
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial0,3252,1627,2764,488,0.839483,0.764344,0.767056,30,36,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial1,3253,1626,2765,488,0.837381,0.770492,0.743542,30,36,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260916,trial2,3253,1626,2765,488,0.78174,0.713115,0.707872,18,24,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260917,trial0,3252,1627,2764,488,0.792128,0.735656,0.714198,20,26,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260917,trial1,3253,1626,2765,488,0.875807,0.805328,0.778598,38,40,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260917,trial2,3253,1626,2765,488,0.858285,0.80123,0.758918,39,40,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260918,trial0,3252,1627,2764,488,0.814268,0.754098,0.746773,21,27,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260918,trial1,3253,1626,2765,488,0.831848,0.776639,0.731242,27,33,2770
real_fists_feet,eegnet_v4,default,ztrial,trial_random,20260918,trial2,3253,1626,2765,488,0.807255,0.72541,0.731857,22,28,2770
real_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260916,run0,3260,1619,2771,489,0.72546,0.707566,0.66399,12,18,2770
real_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260916,run1,3249,1630,2761,488,0.799631,0.704918,0.750307,17,23,2770
real_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260916,run2,3249,1630,2761,488,0.781471,0.69877,0.684049,17,23,2770
real_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260917,run0,3260,1619,2771,489,0.773313,0.725971,0.694256,22,28,2770
real_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260917,run1,3249,1630,2761,488,0.763004,0.709016,0.715337,10,16,2770
real_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260917,run2,3249,1630,2761,488,0.850108,0.754098,0.734356,30,36,2770
real_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260918,run0,3260,1619,2771,489,0.738037,0.695297,0.688079,13,19,2770
real_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260918,run1,3249,1630,2761,488,0.837796,0.727459,0.782822,34,40,2770
real_fists_feet,eegnet_v4,default,ztrial,run_disjoint,20260918,run2,3249,1630,2761,488,0.855956,0.797131,0.746012,35,40,2770
real_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj0,3229,1650,2745,484,0.830288,0.692149,0.701818,18,24,2770
real_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj1,3262,1617,2767,495,0.727161,0.69899,0.65368,8,14,2770
real_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260916,subj2,3267,1612,2760,507,0.733701,0.690335,0.676179,13,19,2770
real_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj0,3208,1671,2716,492,0.852244,0.70122,0.726511,28,34,2770
real_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj1,3285,1594,2784,501,0.742466,0.654691,0.628607,9,15,2770
real_fists_feet,eegnet_v4,default,ztrial,subject_disjoint,20260917,subj2,3265,1614,2776,489,0.812864,0.764826,0.700743,14,20,2770
