dataset,task,model,preproc,protocol,seed,fold,n_train,n_test,n_fit,n_val,train_acc,val_acc,test_acc,best_epoch,epochs_run,n_params
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s4_h0,144,144,122,22,0.458333,0.454545,0.506944,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s4_h1,144,144,122,22,0.645833,0.636364,0.444444,5,11,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s5_h0,144,144,122,22,0.729167,0.818182,0.527778,6,12,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s5_h1,144,144,122,22,0.590278,0.590909,0.513889,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s6_h0,144,144,122,22,0.659722,0.590909,0.583333,5,11,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s6_h1,144,144,122,22,0.791667,0.772727,0.569444,8,14,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s7_h0,144,144,122,22,0.534722,0.5,0.486111,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s7_h1,144,144,122,22,0.534722,0.454545,0.506944,3,9,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s8_h0,144,144,122,22,0.569444,0.681818,0.479167,1,7,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s8_h1,144,144,122,22,0.729167,0.636364,0.638889,12,18,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s9_h0,144,144,122,22,0.701389,0.681818,0.486111,6,12,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260916,within_s9_h1,144,144,122,22,0.534722,0.590909,0.493056,2,8,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s1_h0,144,144,122,22,0.631944,0.590909,0.513889,5,11,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s1_h1,144,144,122,22,0.576389,0.590909,0.458333,3,9,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s2_h0,144,144,122,22,0.618056,0.454545,0.472222,4,10,2450
bci2a,bci2a_left_right,eegnet_v4,ztrial,within_session,20260917,within_s2_h1,144,144,122,22,0.555556,0.5,0.541667,5,11,2450
