task,model,N,d,draw,protocol,mean_acc,n_subjects,n_trials
imagery_left_right_fist,riemann_ts_lr,36,8,8,trial_random,0.479016,36,1610
imagery_left_right_fist,riemann_ts_lr,36,32,8,trial_random,0.448196,36,1610
imagery_left_right_fist,riemann_ts_lr,36,128,8,trial_random,0.661903,36,1610
imagery_left_right_fist,riemann_ts_lr,36,512,8,trial_random,0.662253,36,1610
imagery_left_right_fist,riemann_ts_lr,36,2080,8,trial_random,0.655776,36,1610
imagery_left_right_fist,csp_lda,36,6,8,trial_random,0.562654,36,1610
imagery_left_right_fist,riemann_ts_lr,36,8,8,subject_disjoint,0.511169,36,1610
imagery_left_right_fist,riemann_ts_lr,36,32,8,subject_disjoint,0.529714,36,1610
imagery_left_right_fist,riemann_ts_lr,36,128,8,subject_disjoint,0.612813,36,1610
imagery_left_right_fist,riemann_ts_lr,36,512,8,subject_disjoint,0.591019,36,1610
imagery_left_right_fist,riemann_ts_lr,36,2080,8,subject_disjoint,0.619767,36,1610
