dataset,task,model,protocol,seed,fold,n_train,n_test,train_acc,test_acc
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260916,subj1,3280,1618,0.953659,0.563659
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260916,subj2,3274,1624,0.615761,0.617611
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260916,subj2,3274,1624,0.946854,0.605911
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260917,subj0,3224,1674,0.603288,0.592593
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260917,subj0,3224,1674,0.941687,0.613501
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260917,subj1,3287,1611,0.606328,0.60149
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260917,subj1,3287,1611,0.953149,0.597145
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260917,subj2,3285,1613,0.634094,0.581525
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260917,subj2,3285,1613,0.952207,0.606324
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260918,subj0,3227,1671,0.615432,0.596649
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260918,subj0,3227,1671,0.951348,0.593656
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260918,subj1,3288,1610,0.615268,0.603106
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260918,subj1,3288,1610,0.945864,0.603727
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260918,subj2,3281,1617,0.611399,0.580087
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260918,subj2,3281,1617,0.956721,0.596166
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260919,subj0,3242,1656,0.604565,0.609903
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260919,subj0,3242,1656,0.951265,0.592995
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260919,subj1,3264,1634,0.615196,0.583231
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260919,subj1,3264,1634,0.949449,0.588739
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260919,subj2,3290,1608,0.611854,0.601368
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260919,subj2,3290,1608,0.948936,0.587687
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260920,subj0,3243,1655,0.621647,0.599396
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260920,subj0,3243,1655,0.952205,0.603021
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260920,subj1,3276,1622,0.619963,0.589396
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260920,subj1,3276,1622,0.95177,0.611591
eegbci,imagery_left_right_fist,csp_lda,subject_disjoint,20260920,subj2,3277,1621,0.602991,0.595312
eegbci,imagery_left_right_fist,riemann_ts_lr,subject_disjoint,20260920,subj2,3277,1621,0.947818,0.619371
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s1_h0,30,15,1,0.666667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s1_h0,30,15,1,0.933333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s1_h1,30,15,1,0.666667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s1_h1,30,15,1,0.733333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s1_h2,30,15,0.966667,0.6
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s1_h2,30,15,1,0.733333
eegbci,imagery_left_right_fist,csp_lda,within_subject,20260916,within_s2_h0,30,15,0.966667,0.866667
eegbci,imagery_left_right_fist,riemann_ts_lr,within_subject,20260916,within_s2_h0,30,15,1,0.933333
